Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$111,705,454,014",2.11%,44.48,11.94,22.48
BA,Boeing,Common stocks,Large cap,Industrials,"$111,086,812,059",0.00%,-27.23,1.78,-7.63
C,Citigroup Inc,Common stocks,Large cap,Financials,"$110,771,626,759",3.61%,5.39,1.54,0.55
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$108,241,237,935",0.00%,23.55,2.09,7.8
ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$105,944,517,173",0.00%,51.69,18.55,9.11
SYK,Stryker Corp,Common stocks,Large cap,Health Care,"$102,024,341,558",0.95%,51.71,5.96,6.93
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$101,663,514,000",2.11%,23.89,3.35,-12.41
TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$101,510,015,824",1.53%,14.84,0.96,8.04
GE,General Electric,Common stocks,Large cap,Industrials,"$101,137,613,144",0.35%,-15.39,1.36,2.58
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$100,389,337,561",0.81%,20.35,5.66,10.65
MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$94,551,898,464",6.66%,37.99,4.48,-58.48
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$93,494,163,918",0.00%,83.6,8.53,15.77
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$92,682,987,722",1.77%,34.44,5.98,18.71
CB,Chubb Ltd,Common stocks,Large cap,Financials,"$92,559,944,799",1.46%,10.77,2.26,1.54
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$89,425,400,005",0.25%,13.59,0,1.92
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$89,377,068,735",0.57%,44.55,11.49,19.98
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$87,906,811,282",1.50%,32.99,18.74,3.16
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$87,529,688,644",1.68%,69.47,10.37,2.38
MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$85,888,434,167",2.14%,20.46,2.99,3.11
MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$85,077,999,739",1.22%,27.43,4.29,7.83
MMM,3M,Common stocks,Large cap,Industrials,"$85,074,124,640",3.92%,14.62,2.41,5.75
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$84,719,737,349",3.51%,22.34,3.38,1.73
USB,US Bancorp,Common stocks,Large cap,Financials,"$84,216,538,439",3.07%,11.11,3.71,1.54
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$81,762,117,533",1.01%,21.71,6.53,6.09
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$81,477,333,913",2.49%,14.97,4.26,1.46
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$79,856,684,351",0.75%,11.45,1.36,-85.35
TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$79,154,841,424",3.14%,13.34,3.56,1.16
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$78,157,360,331",3.06%,72.51,12.33,9.62
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$77,744,824,695",1.04%,17.29,4.71,12.26
CI,Cigna Corp,Common stocks,Large cap,Health Care,"$77,575,681,342",1.68%,14.44,0.45,1.64
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$76,358,516,587",1.26%,45.84,3.83,3.18
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$75,759,727,260",1.01%,18.32,8.26,3.27
SO,Southern Co,Common stocks,Large cap,Utilities,"$75,276,087,677",3.66%,31.93,3.26,2.71
GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$74,205,016,326",4.75%,12.19,2.72,3.6
TJX,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"$73,958,460,428",1.67%,30.72,1.52,12.78
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$73,306,064,249",0.00%,9.14,4.56,3.93
FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$73,131,843,635",0.60%,16.92,3.2,5.21
NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$72,289,208,423",1.54%,22.79,6.49,5.02
AON,Aon Plc,Common stocks,Large cap,Financials,"$71,876,837,485",0.62%,57.23,5.89,67.69
EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$70,910,867,781",0.00%,48.26,13.55,12.43
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$70,750,169,531",1.60%,15.14,3.6,3.18
MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$69,754,738,985",0.00%,5.97,3.78,5.15
NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$69,746,344,111",1.40%,9.95,1.96,5.39
PGR,Progressive Corp,Common stocks,Large cap,Financials,"$68,357,096,888",1.62%,20.44,1.43,3.73
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$68,291,169,420",3.00%,21.05,4.89,4.31
PSA,Public Storage,REITs,Large cap,Real Estate,"$67,224,754,096",2.07%,38.7,19.68,7.45
GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$67,000,292,331",1.96%,20.59,1.74,3.8
ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$66,843,293,929",2.19%,25.31,4.62,18.81
FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"$66,511,764,427",0.00%,50.98,4.1,2.2
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$66,309,821,826",1.59%,138.09,9.99,6.35
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$65,571,035,319",1.49%,36.01,3.66,9.18
F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$65,569,702,585",1.20%,3.89,0.48,1.44
SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$65,288,027,130",0.90%,36.24,3.27,27.73
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$65,100,351,423",0.00%,28.04,8.59,6.5
GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"$64,252,603,522",0.00%,6.83,0.51,1.13
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$63,372,341,477",2.37%,29.57,3.64,105.18
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$63,161,103,000",0.00%,65.03,5.31,3.85
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$62,481,641,229",0.59%,23.37,7.1,3.58
MCO,Moodys Corp,Common stocks,Large cap,Financials,"$62,242,251,022",0.76%,28.44,10.01,23.09
NEM,Newmont Corporation,Common stocks,Large cap,Materials,"$61,929,816,133",2.78%,53.39,5.07,2.83
ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$61,617,675,204",1.99%,29.36,3.14,3.84
PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$61,449,655,795",1.24%,29.1,3.44,2.7
FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"$59,623,951,581",1.30%,12.04,0.65,2.52
FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$59,526,532,539",1.67%,149.09,4.29,1.31
SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$58,965,296,057",1.19%,32.02,2.57,4.01
MET,Metlife Inc,Common stocks,Large cap,Financials,"$58,811,577,232",2.66%,9.29,0.91,0.87
EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$58,431,078,000",2.06%,21.4,3.15,5.75
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$56,571,003,995",1.07%,19.4,6.93,14.31
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$56,143,723,003",0.00%,53.1,4.05,41.27
HUM,Humana Inc,Common stocks,Large cap,Health Care,"$55,139,664,834",0.64%,18.97,0.66,3.46
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$55,054,644,366",2.40%,25.69,5.03,4.05
COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$54,849,778,383",1.64%,4.67,1.81,0.92
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$54,491,560,000",0.00%,73.72,12.04,5.22
FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$54,440,852,934",0.00%,92.09,16.29,71.49
OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$53,066,536,918",0.28%,34.96,2.04,2.62
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$52,914,866,558",1.99%,5.59,1.02,0.79
SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$52,088,837,353",3.36%,42,4.05,2.03
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$51,944,795,093",1.62%,18.24,0.61,2.2
DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$51,792,911,678",0.74%,21.8,1.52,8.35
ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$51,046,583,575",1.11%,46.29,4.01,7.24
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$50,886,951,556",0.00%,57.44,11.3,9.69
ROP,Roper Technologies Inc,Common stocks,Large cap,Industrials,"$49,871,994,857",0.49%,43.67,8.19,4.35
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$49,729,977,510",1.33%,27.33,4.5,7.83
CNC,Centene Corp,Common stocks,Large cap,Health Care,"$49,684,267,983",0.00%,10.23,0.39,1.85
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$49,248,817,052",3.07%,20.01,2.93,2.22
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$48,248,580,253",4.00%,47.65,1.85,0.98
DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$48,215,612,473",0.00%,324.39,19.7,22.29
LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$48,158,766,611",1.66%,25.79,2.7,2.46
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$48,015,918,155",1.08%,22.76,2.59,4.06
DOW,Dow Inc.,Common stocks,Large cap,Materials,"$47,126,354,036",4.29%,7.47,0.86,2.6
PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$46,851,510,291",2.02%,37.38,10.82,15.33
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$46,810,310,679",0.00%,97.5,10.67,57.07
JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$46,377,756,030",1.85%,30.1,1.92,2.73
MCK,Mckesson Corp,Common stocks,Large cap,Health Care,"$46,211,301,629",0.59%,32.57,0.18,-36.1
MPC,Marathon Petroleum Corp,Common stocks,Large cap,Energy,"$45,786,348,404",2.80%,4.77,0.38,1.77
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$45,724,860,253",0.00%,21.61,3.43,-704.4
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$45,455,751,321",0.00%,62.41,14.14,67.37
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$45,405,624,191",0.91%,29.12,4.18,7.29
PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$45,142,560,000",3.81%,5.91,0.64,0.73
EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$45,105,903,267",2.48%,27,1.24,1.34
TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"$45,102,676,708",1.87%,12.2,1.3,1.54
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$45,012,534,297",0.00%,66.07,15.06,16.78
HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$44,677,680,300",1.62%,21.17,4.98,11.34
CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$44,153,401,614",0.00%,68.27,5.85,19.4
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$43,903,775,466",0.85%,37.08,5.77,13.59
SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$43,291,483,624",5.57%,20.2,8.46,13.5
IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$43,278,537,898",0.00%,46.17,3.12,7.38
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$43,061,481,961",0.90%,46.03,6.68,7.64
WELL,Welltower Inc,REITs,Large cap,Real Estate,"$43,055,138,339",2.51%,130.82,9.14,2.49
STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$42,936,823,191",1.32%,47.47,4.95,3.39
CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"$42,901,445,903",0.93%,23.98,2.74,1.66
ANET,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$42,899,583,307",0.00%,51.54,14.55,10.89
TEL,TE Connectivity Ltd,Common stocks,Large cap,Information Technology,"$42,890,627,381",1.51%,18.27,2.82,4.05
KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$42,515,335,444",5.63%,24.01,2.56,1.39
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$42,422,917,920",2.11%,9.81,1.93,1.28
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$42,381,148,347",2.51%,11.99,2.71,0.99
MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$42,359,295,977",0.00%,31.74,7.64,6.66
RSG,Republic Services Inc,Common stocks,Large cap,Industrials,"$42,104,355,298",1.32%,32.77,3.73,4.71
HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$42,060,676,876",0.00%,105.74,7.27,-52.81
KR,Kroger,Common stocks,Large cap,Consumer Staples,"$41,909,567,148",1.41%,38.07,0.29,4.37
SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$41,494,404,402",2.28%,54.24,0.68,34.89
NUE,Nucor Corp,Common stocks,Large cap,Materials,"$41,351,636,073",1.11%,5.92,1.13,2.89
MSCI,MSCI Inc,Common stocks,Large cap,Financials,"$41,268,656,869",0.77%,57.85,20.19,-256908407.25
KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$41,250,141,686",3.69%,23.04,2.12,81.32
HPQ,HP Inc,Common stocks,Large cap,Information Technology,"$40,817,924,750",2.27%,6.42,0.63,-17.97
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$40,737,806,954",3.97%,6.42,0.3,1.57
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$40,675,578,616",0.58%,34.5,6.31,8.07
O,Realty Income Corporation,REITs,Large cap,Real Estate,"$40,635,548,402",4.10%,116.17,19.53,1.67
WMB,Williams Inc,Common stocks,Large cap,Energy,"$40,479,239,940",4.87%,26.85,3.67,3.56
GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$40,263,896,393",3.02%,17.71,2.16,4.04
DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"$40,150,890,000",3.37%,14.3,3.37,4.34
AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$40,085,582,881",0.00%,17.12,2.57,-13.14
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$39,997,479,146",1.08%,24.65,1.94,6.06
DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$39,982,814,676",3.30%,24.42,9.03,2.28
BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$39,712,307,240",1.41%,31.16,3.11,4.41
MSI,Motorola Solutions Inc,Common stocks,Large cap,Information Technology,"$39,549,321,006",1.27%,32.16,4.84,-1000.97
VLO,Valero Energy Corp,Common stocks,Large cap,Energy,"$39,455,489,499",3.99%,42.65,0.35,2.15
DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$39,155,357,329",1.60%,6.19,2.35,1.51
ALL,Allstate Corp,Common stocks,Large cap,Financials,"$39,135,456,036",2.31%,26.16,0.78,1.54
XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$38,769,786,125",2.58%,24.48,2.89,2.5
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$38,303,880,000",0.49%,-160.36,1.87,2.09
GPN,Global Payments Inc,Common stocks,Large cap,Information Technology,"$38,170,951,005",0.70%,40.96,4.48,1.54
TDG,Transdigm Group Inc,Common stocks,Large cap,Industrials,"$37,083,056,598",0.00%,47.86,7.59,-14.41
PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$36,831,968,115",1.43%,21.07,2.41,4.37
TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"$36,614,101,907",1.55%,25.96,2.59,5.91
ODFL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$36,288,921,282",0.28%,35.55,6.9,9.99
PSX,Phillips 66,Common stocks,Large cap,Energy,"$36,081,003,747",4.35%,27.9,0.32,1.91
SBAC,SBA Communications Corporation,REITs,Large cap,Real Estate,"$36,033,287,932",0.73%,154.76,15.61,-6.96
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$36,007,699,195",0.53%,56.61,5.53,4.76
DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$35,738,515,832",0.00%,25.14,1.36,4.63
AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$35,703,578,680",1.14%,39.93,4.36,4.26
RMD,Resmed Inc,Common stocks,Large cap,Health Care,"$35,458,879,485",0.68%,69.26,10.3,11.49
YUM,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$35,021,605,209",1.70%,22.42,5.32,-4.22
AVB,"AvalonBay Communities, Inc",REITs,Large cap,Real Estate,"$34,936,723,975",2.52%,35.94,15.22,3.3
LYB,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$34,582,050,336",4.24%,6.14,0.75,2.9
EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$34,534,949,624",1.29%,2.6,3.2,3.62
PEG,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$34,402,380,106",2.99%,-53.54,3.54,2.4
AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$34,400,565,987",1.44%,12.51,2.55,6.07
TROW,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"$34,233,001,036",2.91%,11.61,4.46,3.91
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$34,197,244,396",0.00%,46.23,8.65,9.85
VRSK,Verisk Analytics Inc,Common stocks,Large cap,Industrials,"$34,127,470,527",0.56%,52,11.38,12.3
SIVB,SVB Financial Group,Common stocks,Large cap,Financials,"$33,883,140,669",0.00%,19.69,5.77,2.15
EQR,Equity Residential,REITs,Large cap,Real Estate,"$33,862,625,159",2.67%,26.26,13.74,3.19
FAST,Fastenal,Common stocks,Large cap,Industrials,"$33,646,657,209",1.95%,36.7,5.6,11.16
HAL,Halliburton,Common stocks,Large cap,Energy,"$33,534,689,014",0.68%,23.34,2.19,5.07
HES,Hess Corp,Common stocks,Large cap,Energy,"$33,270,862,953",1.04%,59.67,4.45,5.29
IFF,International Flavors & Fragrances,Common stocks,Large cap,Materials,"$33,208,521,830",2.39%,126.58,2.85,1.62
OTIS,Otis Worldwide Corporation,Common stocks,Large cap,Industrials,"$33,151,313,392",1.23%,26.82,2.32,-9.22
STT,State Street Corp,Common stocks,Large cap,Financials,"$32,986,327,917",2.40%,13.09,3.02,1.23
ED,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$32,948,111,906",3.30%,24.6,2.41,1.65
ROK,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$32,562,801,790",1.55%,32.91,4.47,13.22
ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$32,359,834,389",1.16%,20.09,0.15,134.24
ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$32,350,870,537",1.27%,29.7,1.7,8.32
APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$32,198,289,823",0.00%,64.84,2.06,4.09
GLW,Corning Inc,Common stocks,Large cap,Information Technology,"$32,092,268,774",2.58%,30.03,2.28,2.63
MTD,Mettler Toledo Inc,Common stocks,Large cap,Health Care,"$31,731,835,607",0.00%,42.08,8.53,188.77
DFS,Discover Financial Services,Common stocks,Large cap,Financials,"$31,704,082,289",1.73%,6.09,2.62,2.43
OKE,Oneok Inc,Common stocks,Large cap,Energy,"$31,698,991,766",5.14%,21.21,1.92,5.28
TSN,Tyson Foods Inc Class A,Common stocks,Large cap,Consumer Staples,"$31,596,080,720",2.07%,7.02,0.64,1.41
ARE,"Alexandria Real Estate Equities, Inc",REITs,Large cap,Real Estate,"$31,460,853,208",2.26%,57.8,14.88,2
BF.B,Brown Forman Inc Class B,Common stocks,Large cap,Consumer Staples,"$31,324,174,641",1.09%,25.92,8.36,8.31
TWTR,Twitter Inc,Common stocks,Large cap,Communication Services,"$31,321,082,414",0.00%,-147.14,6.17,4.46
FITB,Fifth Third Bancorp,Common stocks,Large cap,Financials,"$31,316,083,699",2.46%,11.88,4.09,1.42
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$31,109,084,022",0.00%,20.3,2.83,2.9
WEC,WEC Energy Group Inc,Common stocks,Large cap,Utilities,"$31,086,073,030",2.77%,24.06,3.74,2.86
PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$31,047,350,085",1.50%,16.97,1.32,2.76
AME,Ametek Inc,Common stocks,Large cap,Industrials,"$30,900,611,530",0.61%,31.75,5.57,4.57
MTCH,Match Group Inc,Common stocks,Large cap,Communication Services,"$30,741,836,929",0.00%,114.13,10.3,-155.55
PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"$30,592,989,076",1.77%,22.3,1.82,5.11
WST,West Pharmaceutical Services Inc,Common stocks,Large cap,Health Care,"$30,206,608,167",0.17%,46.48,10.67,13.17
ES,Eversource Energy,Common stocks,Large cap,Utilities,"$29,976,604,932",2.78%,24.77,3.04,2.07
CPRT,Copart Inc,Common stocks,Large cap,Industrials,"$29,969,784,666",0.00%,28.48,9.48,7.59
BLL,Ball Corp,Common stocks,Large cap,Materials,"$29,962,675,508",0.80%,33.25,2.17,8.05
CBRE,CBRE Group Inc,Common stocks,Large cap,Real Estate,"$29,809,335,336",0.00%,16.89,1.07,3.64
LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$29,711,561,455",0.00%,-31.8,7.02,15.31
CMI,Cummins Inc,Common stocks,Large cap,Industrials,"$29,584,881,394",2.72%,14.19,1.23,3.57
EFX,Equifax Inc,Common stocks,Large cap,Industrials,"$29,331,047,670",0.65%,40.15,5.96,8.34
AWK,American Water Works Inc,Common stocks,Large cap,Utilities,"$29,303,823,282",1.48%,23.64,7.46,4.09
NDAQ,Nasdaq Inc,Common stocks,Large cap,Financials,"$29,189,726,720",1.21%,25.14,4.96,4.66
KEYS,Keysight Technologies Inc,Common stocks,Large cap,Information Technology,"$29,123,288,282",0.00%,31.59,5.81,7.88
EXPE,Expedia Inc,Common stocks,Large cap,Consumer Discretionary,"$29,023,108,537",0.00%,-109.13,3.38,8.26
WY,Weyerhaeuser Company,REITs,Large cap,Real Estate,"$28,763,596,740",1.72%,11.17,2.82,2.7
FRC,First Republic Bank,Common stocks,Large cap,Financials,"$28,727,404,920",0.53%,17.88,5.79,1.55
WTW,Willis Towers Watson Public Limited Company,Common stocks,Large cap,Financials,"$28,359,033,300",1.25%,5.8,2.97,2.16
ANSS,Ansys Inc,Common stocks,Large cap,Information Technology,"$27,774,029,134",0.00%,62.87,14.57,6.37
DHI,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"$27,735,613,575",1.08%,6.33,0.96,1.83
HRL,Hormel Foods Corp,Common stocks,Large cap,Consumer Staples,"$27,467,879,544",1.96%,29.85,2.29,3.89
CERN,Cerner Corp,Common stocks,Large cap,Health Care,"$27,462,873,706",1.27%,72.25,4.76,7.46
EXR,Extra Space Storage Inc,REITs,Large cap,Real Estate,"$26,915,024,100",2.47%,33.93,17.06,9.01
LYV,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"$26,411,504,033",0.00%,-40.02,4.21,-46.07
EIX,Edison International,Common stocks,Large cap,Utilities,"$26,354,904,033",3.82%,34.98,1.77,1.67
LUV,Southwest Airlines,Common stocks,Large cap,Industrials,"$26,293,082,269",0.00%,27.44,1.67,2.58
ZBH,Zimmer Biomet Holdings Inc,Common stocks,Large cap,Health Care,"$26,289,421,288",0.76%,67.49,3.35,2.14
URI,United Rentals Inc,Common stocks,Large cap,Industrials,"$26,234,593,514",0.00%,19.02,2.7,4.4
GWW,W.W. Grainger Inc,Common stocks,Large cap,Industrials,"$26,221,036,527",1.26%,25.42,2.01,14.15
TSCO,Tractor Supply,Common stocks,Large cap,Consumer Discretionary,"$26,189,122,608",1.06%,26.39,2.06,13.14
ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$26,187,083,428",0.00%,186.34,18.95,63.01
MKC,McCormick & Co  Non-voting,Common stocks,Large cap,Consumer Staples,"$26,038,281,001",1.42%,31.99,4.12,5.48
LH,Laboratory Corporation Of America,Common stocks,Large cap,Health Care,"$25,817,628,000",0.00%,10.87,1.6,2.52
FE,Firstenergy Corp,Common stocks,Large cap,Utilities,"$25,742,000,759",3.41%,20.23,2.31,2.99
DTE,DTE Energy,Common stocks,Large cap,Utilities,"$25,128,320,539",2.68%,27.93,1.64,2.91
ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$25,101,870,530",0.73%,210.68,7.54,4.63
MOS,Mosaic,Common stocks,Large cap,Materials,"$25,033,981,422",0.50%,14.56,2.03,2.24
FANG,Diamondback Energy Inc,Common stocks,Large cap,Energy,"$24,962,286,138",1.38%,11.28,3.67,2.04
VTR,"Ventas, Inc",REITs,Large cap,Real Estate,"$24,956,523,366",2.85%,518.77,6.52,2.34
VMC,Vulcan Materials,Common stocks,Large cap,Materials,"$24,870,665,185",0.80%,37.73,4.48,3.88
MLM,Martin Marietta Materials Inc,Common stocks,Large cap,Materials,"$24,794,363,366",0.60%,35.94,4.58,3.86
NTRS,Northern Trust Corporation,Common stocks,Large cap,Financials,"$24,576,894,387",2.35%,16.69,4.06,2.08
DAL,Delta Air Lines Inc,Common stocks,Large cap,Industrials,"$24,534,906,998",0.00%,90.65,0.82,6.51
PARA,Paramount Global - Class B,Common stocks,Large cap,Communication Services,"$24,494,658,580",2.54%,5.11,0.86,1.04
IT,Gartner Inc,Common stocks,Large cap,Information Technology,"$24,411,380,677",0.00%,31.77,5.16,67.95
STE,STERIS PLC,Common stocks,Large cap,Health Care,"$24,379,972,902",0.69%,88.24,5.74,3.74
VRSN,Verisign Inc,Common stocks,Large cap,Information Technology,"$24,208,192,826",0.00%,31.06,18.23,-19.34
MAA,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"$24,185,859,952",1.97%,46.49,13.6,4.11
LEN,Lennar Corporation Class A,Common stocks,Large cap,Consumer Discretionary,"$24,173,370,627",1.36%,5.7,0.86,1.08
CHD,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"$24,082,677,839",1.02%,29.28,4.64,7.49
HIG,Hartford Financial Services Group,Common stocks,Large cap,Financials,"$24,011,230,926",2.01%,10.36,1.12,1.36
CDW,CDW Corp,Common stocks,Large cap,Information Technology,"$23,926,978,798",1.01%,24.7,1.15,34.6
AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$23,659,135,079",2.42%,24.05,3.7,2.46
MPWR,Monolithic Power Systems Inc,Common stocks,Large cap,Information Technology,"$23,227,524,780",0.48%,98.43,19.23,19.15
