Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value
TXT,Textron Inc,Common stocks,Large cap,Industrials,"$16,166,294,418",0.11%,22.04,1.29,2.41
CAH,Cardinal Health Inc,Common stocks,Large cap,Health Care,"$16,014,148,458",3.34%,28.76,0.09,15.93
ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"$15,952,567,908",2.20%,23.16,4.6,1.95
KMX,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"$15,946,485,184",0.00%,13.97,0.54,3.29
WDC,Western Digital Corp,Common stocks,Large cap,Information Technology,"$15,864,926,731",0.00%,8.15,0.84,1.35
CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$15,748,476,509",3.64%,14.54,1.4,1.85
EPAM,Epam Systems Inc,Common stocks,Large cap,Information Technology,"$15,652,405,147",0.00%,36.26,4.16,7.02
XYL,Xylem Inc,Common stocks,Large cap,Industrials,"$15,624,413,922",1.31%,37.61,3.01,4.99
HWM,Howmet Aerospace Inc.,Common stocks,Large cap,Industrials,"$15,589,184,163",0.16%,61.55,3.14,4.49
NVR,"NVR, Inc.",Common stocks,Large cap,Consumer Discretionary,"$15,585,645,436",0.00%,12.9,1.74,5.31
IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"$15,543,017,053",4.52%,35.45,3.46,18.65
CE,Celanese Corporation,Common stocks,Large cap,Materials,"$15,535,688,887",1.88%,8.36,1.82,3.77
LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"$15,515,987,072",2.61%,23.62,4.23,2.6
EVRG,Evergy Inc,Common stocks,Large cap,Utilities,"$15,356,401,819",3.27%,17.64,2.75,1.68
KIM,Kimco Realty Corporation,REITs,Large cap,Real Estate,"$15,064,765,189",2.84%,19.17,11.04,1.58
LDOS,Leidos Holdings Inc,Common stocks,Large cap,Industrials,"$14,868,091,501",1.30%,25.28,0,3.41
IEX,IDEX Corp,Common stocks,Large cap,Industrials,"$14,818,355,678",1.11%,33.6,5.36,5.39
ABMD,Abiomed Inc,Common stocks,Large cap,Health Care,"$14,647,568,322",0.00%,67.97,14.6,10.53
PKG,Packaging Corp Of America,Common stocks,Large cap,Materials,"$14,540,958,012",2.55%,17.56,1.88,4.06
SJM,J.M. Smucker,Common stocks,Large cap,Consumer Staples,"$14,526,917,292",2.86%,25.47,1.84,1.78
DPZ,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"$14,380,959,949",0.98%,29.09,3.3,-3.53
AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"$14,307,028,437",1.56%,19.93,1.7,7.67
CRL,Charles River Laboratories International,Common stocks,Large cap,Health Care,"$14,271,395,766",0.00%,37.57,4.03,5.79
UAL,United Continental Holdings Inc,Common stocks,Large cap,Industrials,"$14,238,110,922",0.00%,-7.55,0.58,2.95
EMN,Eastman Chemical,Common stocks,Large cap,Materials,"$14,220,563,873",2.60%,17.1,1.36,2.53
